Grade,Category,Year,# Total Days,# Days Absent,# Days Present,% Attendance,# Contributing 10+ Total Days and 1+ Pres Day,# Chronically Absent,% Chronically Absent
1,All Students,2020-21,13095,1962,11133,85.0,78,38,48.7
1,All Students,2021-22,12791,1883,10908,85.3,83,48,57.8
1,All Students,2022-23,11494,1670,9824,85.5,73,46,63.0
2,All Students,2018-19,17892,2043,15849,88.6,116,46,39.7
2,All Students,2019-20,9939,990,8949,90.0,93,35,37.6
2,All Students,2020-21,15058,1210,13848,92.0,90,27,30.0
2,All Students,2021-22,12561,1823,10738,85.5,80,48,60.0
2,All Students,2022-23,12814,1424,11390,88.9,80,39,48.8
3,All Students,2018-19,19117,1881,17236,90.2,122,47,38.5
3,All Students,2019-20,10504,893,9611,91.5,99,36,36.4
3,All Students,2020-21,14246,2011,12235,85.9,86,44,51.2
3,All Students,2021-22,14182,1729,12453,87.8,83,42,50.6
3,All Students,2022-23,12880,1430,11450,88.9,83,40,48.2
4,All Students,2018-19,16484,1616,14868,90.2,102,46,45.1
4,All Students,2019-20,12032,923,11109,92.3,109,30,27.5
4,All Students,2020-21,14910,1997,12913,86.6,89,38,42.7
4,All Students,2021-22,13347,1564,11783,88.3,78,38,48.7
4,All Students,2022-23,13238,1126,12112,91.5,81,28,34.6
5,All Students,2018-19,18616,1299,17317,93.0,112,32,28.6
5,All Students,2019-20,9836,864,8972,91.2,92,29,31.5
5,All Students,2020-21,17681,1979,15702,88.8,102,39,38.2
5,All Students,2021-22,15210,2146,13064,85.9,94,55,58.5
5,All Students,2022-23,14913,1236,13677,91.7,87,28,32.2
6,All Students,2020-21,167,s,s,s,s,s,s
All Grades,All Students,2018-19,50225,6766,43459,86.5,332,169,50.9
All Grades,All Students,2019-20,32564,4227,28337,87.0,313,141,45.0
All Grades,All Students,2020-21,41206,7334,33872,82.2,257,132,51.4
All Grades,All Students,2021-22,37925,6257,31668,83.5,251,166,66.1
All Grades,All Students,2022-23,34090,5101,28989,85.0,224,133,59.4
PK in K-12 Schools,All Students,2018-19,23083,3712,19371,83.9,160,97,60.6
PK in K-12 Schools,All Students,2019-20,16334,2522,13812,84.6,159,81,50.9
PK in K-12 Schools,All Students,2020-21,14469,2980,11489,79.4,97,61,62.9
PK in K-12 Schools,All Students,2021-22,10758,1987,8771,81.5,75,57,76.0
PK in K-12 Schools,All Students,2022-23,10237,1534,8703,85.0,70,44,62.9
0K,All Students,2018-19,4315,584,3731,86.5,29,13,44.8
0K,All Students,2019-20,2523,347,2176,86.2,25,10,40.0
0K,All Students,2020-21,6165,911,5254,85.2,38,18,47.4
0K,All Students,2021-22,6353,1004,5349,84.2,41,26,63.4
0K,All Students,2022-23,4119,683,3436,83.4,27,19,70.4
1,All Students,2018-19,4205,509,3696,87.9,27,11,40.7
1,All Students,2019-20,2975,294,2681,90.1,29,10,34.5
1,All Students,2020-21,3598,1048,2550,70.9,22,14,63.6
1,All Students,2021-22,5750,879,4871,84.7,39,22,56.4
1,All Students,2022-23,5535,901,4634,83.7,37,21,56.8
2,All Students,2018-19,4570,483,4087,89.4,28,13,46.4
2,All Students,2019-20,3086,361,2725,88.3,29,12,41.4
2,All Students,2020-21,4526,663,3863,85.4,27,10,37.0
2,All Students,2021-22,3484,675,2809,80.6,23,17,73.9
2,All Students,2022-23,4508,599,3909,86.7,30,16,53.3
3,All Students,2018-19,4516,530,3986,88.3,31,15,48.4
3,All Students,2019-20,2477,238,2239,90.4,24,9,37.5
3,All Students,2020-21,4725,693,4032,85.3,27,11,40.7
3,All Students,2021-22,3518,661,2857,81.2,23,18,78.3
3,All Students,2022-23,2614,531,2083,79.7,16,11,68.8
4,All Students,2018-19,4780,538,4242,88.7,28,12,42.9
4,All Students,2019-20,2527,231,2296,90.9,24,9,37.5
4,All Students,2020-21,3547,659,2888,81.4,22,12,54.5
4,All Students,2021-22,4343,545,3798,87.5,27,12,44.4
