Grade,Category,Year,# Total Days,# Days Absent,# Days Present,% Attendance,# Contributing 10+ Total Days and 1+ Pres Day,# Chronically Absent,% Chronically Absent
5,All Students,2022-23,7215,782,6433,89.2,41,23,56.1
All Grades,All Students,2018-19,62151,4312,57839,93.1,358,87,24.3
All Grades,All Students,2019-20,39759,3197,36562,92.0,362,107,29.6
All Grades,All Students,2020-21,49983,3652,46331,92.7,297,75,25.3
All Grades,All Students,2021-22,42163,4596,37567,89.1,247,105,42.5
All Grades,All Students,2022-23,38242,4114,34128,89.2,227,106,46.7
PK in K-12 Schools,All Students,2018-19,6335,620,5715,90.2,36,17,47.2
PK in K-12 Schools,All Students,2019-20,3785,436,3349,88.5,38,16,42.1
PK in K-12 Schools,All Students,2020-21,3611,645,2966,82.1,23,14,60.9
PK in K-12 Schools,All Students,2021-22,4110,604,3506,85.3,24,15,62.5
PK in K-12 Schools,All Students,2022-23,3954,403,3551,89.8,23,8,34.8
0K,All Students,2018-19,10712,859,9853,92.0,61,18,29.5
0K,All Students,2019-20,6914,687,6227,90.1,62,24,38.7
0K,All Students,2020-21,6919,729,6190,89.5,43,15,34.9
0K,All Students,2021-22,4600,610,3990,86.7,29,16,55.2
0K,All Students,2022-23,5496,752,4744,86.3,32,20,62.5
1,All Students,2018-19,9783,668,9115,93.2,58,15,25.9
1,All Students,2019-20,6202,478,5724,92.3,55,12,21.8
1,All Students,2020-21,9028,742,8286,91.8,53,17,32.1
1,All Students,2021-22,5419,721,4698,86.7,32,17,53.1
1,All Students,2022-23,5185,652,4533,87.4,30,19,63.3
2,All Students,2018-19,8407,567,7840,93.3,48,11,22.9
2,All Students,2019-20,5848,394,5454,93.3,51,12,23.5
2,All Students,2020-21,7968,504,7464,93.7,46,12,26.1
2,All Students,2021-22,7480,764,6716,89.8,45,18,40.0
2,All Students,2022-23,4519,502,4017,88.9,28,15,53.6
3,All Students,2018-19,8543,612,7931,92.8,48,13,27.1
3,All Students,2019-20,5671,482,5189,91.5,51,19,37.3
3,All Students,2020-21,7260,284,6976,96.1,43,4,9.3
3,All Students,2021-22,6373,644,5729,89.9,36,14,38.9
3,All Students,2022-23,6173,563,5610,90.9,37,13,35.1
4,All Students,2018-19,10404,595,9809,94.3,61,9,14.8
4,All Students,2019-20,5165,283,4882,94.5,47,9,19.1
4,All Students,2020-21,7847,461,7386,94.1,47,8,17.0
4,All Students,2021-22,7101,579,6522,91.8,41,10,24.4
4,All Students,2022-23,6016,651,5365,89.2,34,16,47.1
5,All Students,2018-19,7967,391,7576,95.1,46,4,8.7
5,All Students,2019-20,6174,437,5737,92.9,58,15,25.9
5,All Students,2020-21,7350,287,7063,96.1,42,5,11.9
5,All Students,2021-22,7080,674,6406,90.5,40,15,37.5
5,All Students,2022-23,6899,591,6308,91.4,43,15,34.9
All Grades,All Students,2018-19,45685,4951,40734,89.2,277,114,41.2
All Grades,All Students,2019-20,23608,2220,21388,90.6,222,76,34.2
All Grades,All Students,2020-21,31655,1972,29683,93.8,190,38,20.0
All Grades,All Students,2021-22,29765,3572,26193,88.0,179,85,47.5
All Grades,All Students,2022-23,28801,3504,25297,87.8,204,107,52.5
6,All Students,2018-19,11650,1103,10547,90.5,71,24,33.8
6,All Students,2019-20,5418,510,4908,90.6,52,22,42.3
6,All Students,2020-21,12049,450,11599,96.3,71,9,12.7
6,All Students,2021-22,8956,994,7962,88.9,55,25,45.5
6,All Students,2022-23,7924,973,6951,87.7,61,35,57.4
7,All Students,2018-19,16080,2089,13991,87.0,100,44,44.0
7,All Students,2019-20,7760,814,6946,89.5,72,24,33.3
7,All Students,2020-21,8711,686,8025,92.1,54,12,22.2
7,All Students,2021-22,11106,1181,9925,89.4,66,29,43.9
7,All Students,2022-23,10169,1279,8890,87.4,73,39,53.4
8,All Students,2018-19,17955,1759,16196,90.2,106,46,43.4
8,All Students,2019-20,10430,896,9534,91.4,98,30,30.6
8,All Students,2020-21,10895,836,10059,92.3,65,17,26.2
8,All Students,2021-22,9703,1397,8306,85.6,58,31,53.4
8,All Students,2022-23,10708,1252,9456,88.3,70,33,47.1
All Grades,All Students,2018-19,80314,7057,73257,91.2,501,139,27.7
All Grades,All Students,2019-20,53962,4708,49254,91.3,500,129,25.8
All Grades,All Students,2020-21,98875,13805,85070,86.0,579,224,38.7
All Grades,All Students,2021-22,87390,14362,73028,83.6,529,282,53.3
All Grades,All Students,2022-23,78910,9591,69319,87.8,489,185,37.8
9,All Students,2018-19,21740,2006,19734,90.8,139,34,24.5
9,All Students,2019-20,13896,1505,12391,89.2,128,30,23.4
9,All Students,2020-21,27963,3020,24943,89.2,165,54,32.7
9,All Students,2021-22,19837,2253,17584,88.6,121,46,38.0
9,All Students,2022-23,19753,1576,18177,92.0,124,34,27.4
10,All Students,2018-19,23208,1869,21339,91.9,146,44,30.1
10,All Students,2019-20,13323,949,12374,92.9,127,30,23.6
10,All Students,2020-21,24427,3336,21091,86.3,145,51,35.2
10,All Students,2021-22,24094,3703,20391,84.6,147,77,52.4
10,All Students,2022-23,19875,2193,17682,89.0,122,36,29.5
11,All Students,2018-19,19315,1395,17920,92.8,119,25,21.0
11,All Students,2019-20,13624,851,12773,93.8,126,27,21.4
11,All Students,2020-21,23535,3511,20024,85.1,136,55,40.4
11,All Students,2021-22,21109,3413,17696,83.8,128,74,57.8
11,All Students,2022-23,19755,2087,17668,89.4,122,46,37.7
12,All Students,2018-19,16051,1787,14264,88.9,97,36,37.1
12,All Students,2019-20,13119,1403,11716,89.3,119,42,35.3
12,All Students,2020-21,22950,3938,19012,82.8,133,64,48.1
12,All Students,2021-22,22350,4993,17357,77.7,133,85,63.9
12,All Students,2022-23,19527,3735,15792,80.9,121,69,57.0
All Grades,All Students,2018-19,119652,6333,113319,94.7,685,81,11.8
All Grades,All Students,2019-20,77381,3742,73639,95.2,685,82,12.0
All Grades,All Students,2020-21,117665,2619,115046,97.8,685,26,3.8
All Grades,All Students,2021-22,123278,9623,113655,92.2,704,182,25.9
All Grades,All Students,2022-23,123293,7852,115441,93.6,712,140,19.7
